pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,18,18,0.41637490595412185,41,17.071371144118995,1,"[[9.0, 9.0], [-3.57, 0.93]]","[[9.0, -3.57], [9.0, 0.93]]",9.0,9.0,9.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,65,65,0.31686498283921116,26,8.238489553819491,1,"[[32.5, 32.5], [40.51, 56.76]]","[[32.5, 40.51], [32.5, 56.76]]",56.76,56.76,56.76,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,4,4,0.798943986828543,29,23.169375618027747,1,"[[2.0, 2.0], [-20.17, -19.17]]","[[2.0, -20.17], [2.0, -19.17]]",2.0,2.0,2.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,55,55,0.650804859171407,9,5.8572437325426625,1,"[[27.5, 27.5], [35.39, 49.14]]","[[27.5, 35.39], [27.5, 49.14]]",49.14,49.14,49.14,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,16,16,0.2505069995249254,6,1.5030419971495523,1,"[[8.0, 8.0], [10.5, 14.5]]","[[8.0, 10.5], [8.0, 14.5]]",14.5,14.5,14.5,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,15,15,0.36354862912542407,22,7.99806984075933,1,"[[7.5, 7.5], [3.25, 7.0]]","[[7.5, 3.25], [7.5, 7.0]]",7.5,7.5,7.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,59,59,0.9381925854129306,26,24.393007220736195,1,"[[29.5, 29.5], [19.86, 34.61]]","[[29.5, 19.86], [29.5, 34.61]]",29.5,34.61,34.61,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.35, 0.65]), array([0.35, 0.65])]",3.0,Not_Unique,2
0.5,33,33,0.7913905288658946,1,0.7913905288658946,1,"[[16.5, 16.5], [23.96, 32.21]]","[[16.5, 23.96], [16.5, 32.21]]",32.21,32.21,32.21,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,62,62,0.7429914254752028,35,26.004699891632097,1,"[[31.0, 31.0], [20.5, 36.0]]","[[31.0, 20.5], [31.0, 36.0]]",31.0,36.0,36.0,"[array([ 1., -0.]), array([ 1., -0.]), array([0., 1.]), array([0., 1.]), array([0.32, 0.68]), array([0.32, 0.68])]",3.0,Not_Unique,2
0.5,32,32,0.22793844701163735,50,11.396922350581868,1,"[[16.0, 16.0], [12.6, 20.6]]","[[16.0, 12.6], [16.0, 20.6]]",16.0,20.6,20.6,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.58, 0.42]), array([0.58, 0.42])]",3.0,Not_Unique,2
0.5,60,60,0.3862028054741492,38,14.67570660801767,1,"[[30.0, 30.0], [30.32, 45.32]]","[[30.0, 30.32], [30.0, 45.32]]",45.32,45.32,45.32,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,24,24,0.3993663476962279,41,16.374020255545346,1,"[[12.0, 12.0], [1.63, 7.63]]","[[12.0, 1.63], [12.0, 7.63]]",12.0,12.0,12.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,8,8,0.17031684798999758,5,0.8515842399499879,1,"[[4.0, 4.0], [5.15, 7.15]]","[[4.0, 5.15], [4.0, 7.15]]",7.15,7.15,7.15,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
