pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,33,79,0.36756178159788033,38,13.967347700719452,1,"[[28.0, 28.0], [22.28, 42.03]]","[[28.0, 22.28], [28.0, 42.03]]",28.0,42.03,42.03,"[array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.71, 0.29]), array([0.71, 0.29])]",3.0,Not_Unique,2
0.5,20,90,0.0006526030100750813,43,0.028061929433228494,1,"[[27.5, 27.5], [32.47, 54.97]]","[[27.5, 32.47], [27.5, 54.97]]",54.97,54.97,54.97,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,93,52,0.23775090874660088,46,10.93654180234364,1,"[[36.25, 36.25], [48.56, 61.56]]","[[36.25, 48.56], [36.25, 61.56]]",61.56,61.56,61.56,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,5,84,0.8455729363150047,21,17.7570316626151,1,"[[22.25, 22.25], [5.74, 26.74]]","[[22.25, 5.74], [22.25, 26.74]]",22.25,26.74,26.74,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.21, 0.79]), array([0.21, 0.79])]",3.0,Not_Unique,2
0.5,62,20,0.5102321847175912,28,14.286501172092555,1,"[[20.5, 20.5], [21.71, 26.71]]","[[20.5, 21.71], [20.5, 26.71]]",26.71,26.71,26.71,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,28,0,0.7105751315227442,23,16.343228025023116,1,"[[7.0, 7.0], [-2.34, -2.34]]","[[7.0, -2.34], [7.0, -2.34]]",7.0,7.0,7.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,54,60,0.043265736715553005,24,1.0383776811732721,1,"[[28.5, 28.5], [40.96, 55.96]]","[[28.5, 40.96], [28.5, 55.96]]",55.96,55.96,55.96,"[array([-0.,  1.]), array([-0.,  1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,15,51,0.9716570306092286,32,31.093024979495315,1,"[[16.5, 16.5], [-10.84, 1.91]]","[[16.5, -10.84], [16.5, 1.91]]",16.5,16.5,16.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,60,32,0.9365243140077638,41,38.397496874318314,1,"[[23.0, 23.0], [-0.4, 7.6]]","[[23.0, -0.4], [23.0, 7.6]]",23.0,23.0,23.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,11,13,0.6026658429062615,8,4.821326743250092,1,"[[6.0, 6.0], [3.93, 7.18]]","[[6.0, 3.93], [6.0, 7.18]]",6.0,7.18,7.18,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.]), array([-0.,  1.]), array([-0.,  1.]), array([0.36, 0.64]), array([0.36, 0.64])]",4.0,Not_Unique,2
0.5,38,46,0.25772228570670774,32,8.247113142614648,1,"[[21.0, 21.0], [22.25, 33.75]]","[[21.0, 22.25], [21.0, 33.75]]",33.75,33.75,33.75,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,12,11,0.9530132368902974,48,45.74463537073427,1,"[[5.75, 5.75], [-36.99, -34.24]]","[[5.75, -36.99], [5.75, -34.24]]",5.75,5.75,5.75,"[array([0.5, 0.5]), array([0.5, 0.5]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,96,70,0.2748580702472958,15,4.122871053709437,1,"[[41.5, 41.5], [61.38, 78.88]]","[[41.5, 61.38], [41.5, 78.88]]",78.88,78.88,78.88,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,50,13,0.25927696344288853,31,8.037585866729545,1,"[[15.75, 15.75], [20.21, 23.46]]","[[15.75, 20.21], [15.75, 23.46]]",23.46,23.46,23.46,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,72,38,0.05206255401269266,23,1.1974387422919313,1,"[[27.5, 27.5], [44.3, 53.8]]","[[27.5, 44.3], [27.5, 53.8]]",53.8,53.8,53.8,"[array([0., 1.]), array([0., 1.]), array([0., 1.]), array([0., 1.])]",2.0,Not_Unique,2
0.5,35,32,0.6997133686975202,11,7.696847055672722,1,"[[16.75, 16.75], [17.8, 25.8]]","[[16.75, 17.8], [16.75, 25.8]]",25.8,25.8,25.8,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,92,25,0.6686635086908503,20,13.373270173817007,1,"[[29.25, 29.25], [38.88, 45.13]]","[[29.25, 38.88], [29.25, 45.13]]",45.13,45.13,45.13,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,17,70,0.32816851128614666,27,8.86054980472596,1,"[[21.75, 21.75], [17.14, 34.64]]","[[21.75, 17.14], [21.75, 34.64]]",21.75,34.64,34.64,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.74, 0.26]), array([0.74, 0.26])]",3.0,Not_Unique,2
0.5,75,70,0.8404999684099994,33,27.73649895752998,1,"[[36.25, 36.25], [27.26, 44.76]]","[[36.25, 27.26], [36.25, 44.76]]",36.25,44.76,44.76,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.49, 0.51]), array([0.49, 0.51])]",3.0,Not_Unique,2
0.5,92,44,0.6742664606755369,21,14.159595674186274,1,"[[34.0, 34.0], [42.84, 53.84]]","[[34.0, 42.84], [34.0, 53.84]]",53.84,53.84,53.84,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,16,54,0.3566804878718881,42,14.9805804906193,1,"[[17.5, 17.5], [6.52, 20.02]]","[[17.5, 6.52], [17.5, 20.02]]",17.5,20.02,20.02,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.19, 0.81]), array([0.19, 0.81])]",3.0,Not_Unique,2
0.5,8,40,0.8584871562748341,36,30.905537625894027,1,"[[12.0, 12.0], [-16.91, -6.91]]","[[12.0, -16.91], [12.0, -6.91]]",12.0,12.0,12.0,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,83,80,0.7245037832403819,42,30.42915889609604,1,"[[40.75, 40.75], [31.07, 51.07]]","[[40.75, 31.07], [40.75, 51.07]]",40.75,51.07,51.07,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.52, 0.48]), array([0.52, 0.48])]",3.0,Not_Unique,2
0.5,16,70,0.19501472948050935,31,6.04545661389579,1,"[[21.5, 21.5], [19.45, 36.95]]","[[21.5, 19.45], [21.5, 36.95]]",21.5,36.95,36.95,"[array([0., 1.]), array([0., 1.]), array([0.88, 0.12]), array([0.88, 0.12]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,99,50,0.011537516430294326,19,0.2192128121755922,1,"[[37.25, 37.25], [61.78, 74.28]]","[[37.25, 61.78], [37.25, 74.28]]",74.28,74.28,74.28,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,71,86,0.054801272724057104,14,0.7672178181367995,1,"[[39.25, 39.25], [56.23, 77.73]]","[[39.25, 56.23], [39.25, 77.73]]",77.73,77.73,77.73,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
